,Unnamed: 0,c_arm_lateral_m,c_arm_vertical_m,c_arm_wigwag_deg,c_arm_horizontal_m,c_arm_tilt_deg,c_arm_orbital_deg,table_vertical_m,table_trend_deg,table_tilt_deg,table_longitudinal_m,table_transverse_m,quat_w,quat_x,quat_y,quat_z,Tx_m,Ty_m,Tz_m
42,42,0.05,0.4,2,0.12,-88,47,0.07,-17,12,0.68,-0.09,0.7804810647250237,-0.27666129979052934,-0.5105728287013676,0.23156687888338448,0.7176147749397672,-0.21879297215324955,-0.5575816279406227
43,43,0.21,0.29,7,0.08,116,28,0.04,2,-15,0.0,0.08,0.4866179771848152,0.12600332745906062,0.8281658663775419,0.2479262057890194,0.5259807163827783,0.24071487388887047,0.35535419518442
44,44,0.3,0.38,-9,0.04,218,-13,0.2,27,-20,0.09,-0.11,0.09133238401040865,0.2414162561712433,-0.9634363679400916,0.07188151234942358,0.4725594570184424,0.040971614129325706,0.002303471077597097
45,45,-0.48,0.39,8,0.11,142,38,0.04,-12,18,0.48,-0.09,0.21001571494194332,0.48235435115817704,0.8443818220402605,0.101227555557606,0.8312956201779207,-0.3722698568800735,0.3919292605790172
46,46,0.44,0.43,8,0.01,236,-31,0.33,-6,-9,0.4,0.01,0.492280714559179,0.32015681579850297,-0.793428816743313,-0.16009379791913803,0.43099538151237726,0.01341277877326652,-0.33409024389033526
47,47,-0.31,0.01,-2,0.14,146,-58,0.24,30,-5,0.59,0.03,0.46638824711914434,-0.4435557524222534,0.7226514959899928,-0.2520220482134174,-0.2754270919445352,0.07889754767398505,0.01531095234339852
48,48,0.48,0.27,3,0.15,27,-87,0.16,-2,-13,0.7,0.08,0.7763418498246543,-0.17530911546746297,0.18046339039585246,-0.5779212844079059,0.3902172200402032,0.26782762697141593,-0.7617972589135067
49,49,0.13,0.33,-3,0.15,54,20,0.0,26,-5,0.38,0.04,0.9506130887973585,0.011685171037538404,0.2423874322110214,0.1935110975916277,0.4760384518638945,0.16341342185979135,0.059454299947265477
50,50,0.03,0.02,0,0.14,13,-71,0.02,-5,13,0.57,0.11,0.7339954794976308,-0.07584093358959318,0.13682066599999476,-0.6608924982359988,0.3440144789376589,0.0742009474363523,-0.28714180841203596
51,51,-0.23,0.34,0,0.04,96,-79,0.16,7,14,0.41,-0.01,0.4909692102909061,-0.37659827319497036,0.5911408778014975,-0.517373595929446,0.3852430194494241,-0.167056150658089,0.23720699673225137
52,52,0.06,0.35,-6,0.08,151,45,0.15,1,6,0.58,0.08,0.2605903778102486,0.40384406498878683,0.8760864162838804,0.038408558537282235,0.5031491029617192,0.012930930893212622,-0.4445356157717656
53,53,-0.2,0.12,0,0.15,67,-99,0.07,8,-7,0.12,0.08,0.6045998694613173,-0.39326694108253624,0.29634789622428215,-0.6260814925410152,0.26010626964782313,0.1997787313235917,0.48818047290524197
54,54,-0.02,0.02,5,0.0,173,14,0.22,-18,0,0.04,0.08,0.10023064771146341,-0.13056341437138613,-0.9858857671733864,-0.0305984668238395,0.2699079151295074,-0.00070795465052087,0.36888522387296074
55,55,-0.03,0.43,1,0.01,251,-28,0.12,25,-6,0.14,0.08,0.3824235222907321,0.2753210381398266,-0.8783535969507389,-0.08028408484909808,0.3639786707427676,0.06317683607380964,0.5278815501316306
56,56,-0.11,0.2,7,0.01,121,-92,0.3,-10,-8,0.38,-0.03,0.3412674234243187,-0.6735441116980326,0.6103093460491347,-0.2395774977565976,0.33227494484265363,-0.04625243360496056,0.19964801476881136
57,57,-0.12,0.08,3,0.08,20,-56,0.0,30,-17,0.23,-0.03,0.9424255224650077,0.07089545601814444,-0.055924936561646085,-0.321994363915135,0.016803444241258014,0.008674581138989446,0.4869455453652356
58,58,-0.06,0.38,6,0.15,34,-96,0.02,-24,-10,0.12,0.03,0.6418905866068896,-0.35527884236013485,0.3330041596239954,-0.5923357567037654,0.8346306106183292,0.2617792830656889,0.09460467877176737
59,59,-0.32,0.09,-5,0.05,233,-30,0.16,-19,11,0.7,0.07,0.5646464361885011,0.12082105665875321,-0.7992672326271901,-0.16657900592799962,0.39660315829338844,-0.058006404851668414,-0.3076512246099179
60,60,0.14,0.44,-3,0.11,223,-40,0.07,17,10,0.56,0.09,0.21338574409376387,0.23945661684962238,-0.9442342411393616,-0.07448993706842329,0.5896795331806206,0.001690337567504585,-0.21388992689386502
61,61,0.06,0.21,-8,0.1,72,32,0.01,25,16,0.65,-0.11,0.9131941672868484,0.11956484827232368,0.3821882406587849,0.07558312373167911,0.3863682173693317,-0.23965495023950645,-0.3358720547866257
62,62,-0.16,0.28,4,0.11,108,-46,0.35,6,19,0.61,0.05,0.5461664270812665,-0.16282815896977818,0.7596502635707306,-0.313242241137296,0.1633866733726972,-0.007822441082890652,0.04416460993809418
63,63,0.03,0.11,-5,0.02,-90,-54,0.1,-24,-1,0.06,0.03,0.7661636878050825,0.2301744022541827,-0.49361059855824574,-0.3411180514525967,0.3812861848205691,-0.022392437528196307,-0.06384108192605442
64,64,0.24,0.45,9,0.08,200,-93,0.04,-10,19,0.58,-0.1,0.07948559935824208,0.5849778908819627,-0.7649293184413075,-0.2576160795891209,0.7256927151398633,-0.39959398552481273,-0.3714108006576915
65,65,-0.33,0.13,-1,0.04,175,34,0.26,-14,-15,0.31,-0.01,0.06782281481379994,-0.16311201301109873,-0.98344549026104,0.04036712384382518,0.3358496883796458,0.07030808153818557,0.2544994057302955
66,66,0.22,0.0,7,0.05,101,-27,0.3,12,13,0.65,0.08,0.6863974526601794,-0.05181623767281649,0.6984935816078544,-0.19565359937318488,-0.07811653237947414,0.03743283114733753,-0.3162935041848841
67,67,-0.37,0.23,-7,0.14,33,43,0.05,10,-1,0.45,0.04,0.9152572824508719,0.01828585484082064,0.20613436535762894,0.34565641589878343,0.38103931978082417,0.10118030016661606,0.16392509802991972
68,68,-0.2,0.05,4,0.03,9,-39,0.33,23,-13,0.17,0.13,0.9686820627508007,0.08354379702482125,-0.09476243655124292,-0.2137652354860372,-0.24150314870868028,0.047322695119644376,0.48134104899567176
69,69,-0.33,0.32,6,0.1,16,-10,0.19,15,12,0.56,-0.12,0.9829132595613672,0.050576930439995234,0.007833079954388847,-0.17681103230325942,0.18642760391631397,-0.1642843295836307,0.39643493434876403
70,70,0.03,0.11,-8,0.06,-33,84,0.2,-6,17,0.59,-0.07,0.7960183543161407,-0.22151893241487536,-0.09738935679687867,0.5547967694176735,0.21079985786844846,-0.1965819268323976,-0.5213966655027109
71,71,0.18,0.4,10,0.12,-29,35,0.23,-8,-1,0.0,0.04,0.9401183724755908,0.025962596850007146,-0.19777460252076468,0.27638486915242594,0.5436704218315246,0.07162697109873184,0.36571092654600273
72,72,0.0,0.04,6,0.0,220,7,0.26,-15,-16,0.59,0.04,0.4620455482504788,0.08079134665420164,-0.8821758534026444,0.04186207497283432,0.23788022237764117,0.05031483238529444,-0.15135515068589425
73,73,0.41,0.17,-4,0.01,205,53,0.03,-24,4,0.21,-0.06,0.3626528813861121,-0.434199136671911,-0.7990570679369594,0.20362170688732342,0.34963971506444713,-0.1602878601579043,-0.589066421122776
74,74,0.41,0.17,-5,0.05,-56,-61,0.12,13,-7,0.15,-0.06,0.7408606641004718,0.2827830276739973,-0.4918195446060859,-0.35954522829763363,0.38103006922963734,-0.03206719026129101,-0.23789523457971562
75,75,0.33,0.12,4,0.14,78,-42,0.3,18,-7,0.25,0.12,0.8332388844375126,-0.18597060331861398,0.4643875234091654,-0.23552520940345623,0.053119684962434244,0.2002639108473956,-0.053550699888080505
76,76,0.03,0.23,4,0.11,190,-36,0.19,19,16,0.36,0.01,0.08528723540731496,-0.18161280680286654,0.9796564890314882,-0.004004919507295647,0.16662589901603386,-0.0341231954497514,0.19253675802798714
77,77,0.28,0.21,3,0.01,207,-60,0.3,1,3,0.55,0.05,0.1784654379343973,0.47033524527716153,-0.8529779167431341,-0.13915285861777668,0.21253387570152826,-0.03354065080142421,-0.39541826228111177
78,78,-0.5,0.08,10,0.01,-20,-85,0.05,29,5,0.34,0.01,0.6458266124579523,0.3321046958209818,-0.2606146782598194,-0.6361559927645655,-0.2856021217215994,-0.06203812945163678,0.8398069031229743
79,79,-0.37,0.14,2,0.15,-15,-24,0.06,6,-13,0.13,0.11,0.9784478903785035,0.0743148840029095,-0.16727127973003966,-0.09558944924501206,0.2738916797083094,0.2722609347642493,0.6942695338078579
80,80,0.07,0.1,-9,0.09,178,24,0.28,6,18,0.15,-0.13,0.07354986408738214,0.35894925951508216,0.9274540880623481,-0.07466432295775648,0.10805161156803744,-0.2024110637887031,-0.09513446082864543
81,81,0.26,0.37,5,0.0,166,15,0.11,4,-16,0.62,0.0,0.1389891218930136,-0.004809358546982825,0.9867438832941475,0.08363852489948322,0.5465687724182104,0.10144017423437823,-0.3531890368275813
82,82,-0.47,0.38,-4,0.06,71,-75,0.27,28,-5,0.35,-0.11,0.7464677211346445,-0.2528016484092307,0.26601615428998304,-0.5550789795357002,0.003031647429582951,-0.11985779446458067,0.5162071716481651
83,83,0.2,0.44,9,0.04,83,-84,0.14,-20,12,0.48,0.1,0.445724578799743,-0.4044663750959774,0.6705128205330233,-0.43376158056167413,0.6888877772932376,-0.12284872588551021,-0.35851528763809837
84,84,-0.47,0.17,9,0.15,253,-88,0.19,-12,-6,0.48,-0.08,0.4639513038806645,0.564706160729467,-0.4721486659124162,-0.49288109817555614,0.506935378085849,0.038778472924163365,0.49237925730129334
85,85,0.34,0.35,-3,0.06,205,-5,0.33,-14,-8,0.43,-0.09,0.3328960459364927,0.10418065793391745,-0.9365451333884135,0.03478255653029517,0.3103666339697799,-0.0496330856478977,-0.6050275907615351
86,86,0.29,0.03,2,0.13,36,-75,0.31,-14,5,0.02,-0.12,0.6963068347013895,-0.22833344380059045,0.35596225874114285,-0.5799237025180105,0.0705852604097792,-0.08071093236109528,0.06047910955813418
87,87,-0.4,0.31,0,0.15,-57,-46,0.03,-24,12,0.1,0.02,0.8386026357098921,0.0830380504985016,-0.2716052249068422,-0.46484503154614226,0.8504439457082165,-0.10534754689836046,0.3001880851043438
88,88,0.37,0.31,5,0.01,158,33,0.15,16,10,0.34,0.01,0.31004424038103173,0.3483279097682793,0.8780531164782429,0.10753120907836791,0.38344243394363176,-0.14708132222991566,-0.07754185507316433
89,89,0.1,0.16,-2,0.14,69,9,0.14,-14,12,0.57,0.1,0.7483740916777625,0.10551326982081036,0.6542462761711563,-0.027658252175070244,0.3788630231794152,0.06364530012842184,-0.48847273582853773
90,90,-0.47,0.04,-1,0.05,235,94,0.08,28,16,0.52,0.12,0.1773011086905149,-0.7998051145104026,-0.5529705909196562,0.15198559549537058,-0.17333099509683914,0.11477425057686474,0.34798408405447356
91,91,-0.02,0.24,0,0.1,2,97,0.29,25,20,0.17,0.08,0.7668970669374536,-0.16998910836841485,-0.10416945958336894,0.6100174714292624,0.04834964305234979,0.05260958977443608,0.312791843848255
92,92,0.02,0.33,-2,0.1,192,71,0.15,10,-15,0.26,-0.02,0.0010781081595875514,-0.47226885080135933,-0.8811152829010981,0.02443007334572408,0.40064812809990064,0.139021108472543,0.11168851024977376
93,93,-0.07,0.4,2,0.05,-59,39,0.15,-23,4,0.12,-0.08,0.9103435982353678,-0.10098286476702648,-0.292298420766655,0.2750247759614529,0.7085245983024695,-0.16254511625948465,0.05454873125163667
94,94,-0.14,0.0,2,0.15,201,23,0.09,-22,-2,0.01,-0.08,0.36153643577832684,-0.16967905914283007,-0.9146705513020162,0.062275236442533466,0.4176583069971239,0.012117001892094637,0.37419628617556155
95,95,-0.45,0.11,-4,0.08,237,58,0.36,-24,-15,0.48,0.05,0.5018410883199325,-0.2877422409895715,-0.7034313248702941,0.4129700909453223,0.33153351283782123,0.16682086449882516,0.08074916074383154
96,96,0.21,0.12,10,0.01,247,-3,0.14,8,18,0.38,-0.07,0.46973470903907527,-0.06056877248742069,-0.8665513857407828,-0.15738304481128637,0.1802722805817385,-0.25353188082561307,0.07208540396519175
97,97,-0.12,0.37,-10,0.1,32,31,0.33,-6,13,0.66,0.06,0.9333910055598457,0.042757624846159865,0.33252518325571195,0.1279844473295502,0.3608844617755105,-0.045692943932473806,-0.5162015148064858
98,98,0.36,0.01,4,0.14,191,-56,0.25,12,8,0.1,-0.09,0.025518658413518965,-0.41282969589939444,0.9101241778948914,0.024380751988728834,0.04136779891187481,-0.048263377530399776,0.03637156496262495
99,99,0.44,0.43,-9,0.15,167,7,0.16,24,-16,0.46,-0.1,0.32554637801629327,-0.06667846233264926,0.9430759464121788,-0.013464684184914305,0.5986306611415487,0.15721869040568826,-0.5057623953465649
100,100,0.48,0.14,-1,0.08,233,80,0.09,13,20,0.05,-0.05,0.29252751016742284,-0.7228739494342316,-0.6003589090942727,0.17734173027164057,0.34554731928363625,-0.20710116145978064,-0.10134017289354877
101,101,-0.08,0.19,5,0.0,250,-77,0.08,-8,-5,0.15,-0.01,0.4866695425324708,0.526323394912637,-0.5712224762994068,-0.3998016044355568,0.5046883056841132,-0.038112872193196035,0.33241997642416254
102,102,0.34,0.2,-9,0.07,178,-7,0.2,16,-3,0.18,-0.05,0.15313945495504636,-0.07629197355591136,0.9817301229547226,-0.08326948895196021,0.34593923312211816,-0.050992009037534425,-0.29540089388725177
103,103,0.45,0.2,-4,0.03,182,99,0.04,8,8,0.29,-0.08,0.06145777025481991,0.8040754533958123,0.5912006647871615,0.012937607075605265,0.47377806100244646,-0.20984511777363046,-0.4158734562160869
104,104,0.26,0.0,-6,0.15,189,-16,0.32,-26,13,0.46,0.0,0.30368857212780354,0.03266428113389814,-0.9518810494763927,-0.025075157919797565,-0.020213678247352984,0.049276058265983025,-0.578639014946391
105,105,-0.17,0.38,3,0.13,128,-66,0.31,15,3,0.24,0.11,0.4687704455807802,-0.42847275340463054,0.7151008092737314,-0.2920551343768946,0.19639689674636562,0.14730504654399446,0.4672116900324432
106,106,0.08,0.16,2,0.11,-74,-19,0.08,10,-3,0.45,0.12,0.7345133842410011,0.1421852466282789,-0.6539126883238131,-0.11256837949091475,0.3148791731908447,0.1758088105159532,-0.044439333792944236
107,107,-0.08,0.27,-3,0.14,147,-83,0.25,3,16,0.11,0.04,0.18139485472263822,-0.5303930421718768,0.7890613544936238,-0.2513191324601104,0.3102429115772669,-0.012353937402451498,0.2561332973278952
108,108,-0.28,0.23,-9,0.12,47,-96,0.24,18,-12,0.26,0.09,0.689048113747652,-0.24083201539924765,0.09318194459773545,-0.6771482574004929,0.13796150087428027,0.1661951371689263,0.2193048547407978
109,109,-0.5,0.38,-3,0.08,-53,-77,0.06,18,10,0.44,-0.09,0.5957545937136746,0.29958331493653545,-0.49785335189701,-0.5544982790646,0.33549050903279376,-0.16391033778680542,0.5128896374636597
110,110,0.05,0.08,-6,0.06,-38,90,0.05,-2,12,0.03,0.0,0.7268320022338,-0.27077198569125643,-0.15598436593562087,0.6116098837308646,0.33160870071328685,-0.11581313414378647,0.09146594279276793
111,111,0.48,0.05,6,0.07,194,11,0.3,14,-4,0.1,-0.07,0.006628296861255092,-0.048327276606679334,-0.9975398379780863,-0.050346913144241986,0.035519451346800346,-0.07415739242201669,-0.029681220302567868
112,112,-0.31,0.46,6,0.14,-65,-4,0.3,12,-20,0.03,-0.05,0.7771797652352824,0.175064433387474,-0.5983386956903352,0.08564380836430928,0.23255448734600292,0.13065081917991783,0.900675058115136
113,113,0.03,0.04,-3,0.06,127,68,0.0,-23,19,0.19,-0.07,0.24398877674801936,0.6529813839565323,0.7115113585049354,0.08852330622880189,0.3926111607747145,-0.25774505172446815,-0.15039599132884734
114,114,0.18,0.45,8,0.01,-68,-70,0.06,-18,-13,0.34,-0.08,0.7718383545172164,0.31756239680585296,-0.28194667368367604,-0.47320793720074944,0.7887895620946999,0.04340171229528256,-0.22811532736680754
115,115,0.12,0.03,2,0.0,84,-79,0.27,-25,-12,0.45,-0.09,0.4889095427743495,-0.5699331480531651,0.5813683333032905,-0.3132962284588498,0.20387636379788654,-0.10301880653099826,-0.27063437651852656
116,116,0.0,0.18,1,0.05,-20,-92,0.0,17,-16,0.02,-0.03,0.7471201456620314,0.261822656068219,-0.17944239964019018,-0.5840041180734075,0.32929797756220053,0.06684614363405461,0.5108904306047138
117,117,0.18,0.44,-10,0.03,186,-62,0.01,-6,-7,0.17,-0.06,0.13260910312007462,0.5611598647756063,-0.8164926697771155,0.029225881251907285,0.7327488779497864,-0.02650793345824387,-0.35323538033792945
118,118,-0.15,0.39,-8,0.11,151,88,0.29,-22,14,0.25,-0.08,0.08652774147372362,0.7549077896716273,0.6499548688084464,-0.013632591857375233,0.48196366611729213,-0.20517643659493223,-0.18885110883646056
119,119,-0.27,0.17,-3,0.05,169,11,0.04,-24,-7,0.65,-0.07,0.10786573114809664,-0.026796510362641916,-0.9929010471822735,0.04236084962103937,0.6306765129078714,-0.007612124045747182,-0.3816697745243682
120,120,-0.41,0.25,-5,0.1,95,39,0.21,1,-8,0.67,-0.03,0.6377638519543838,0.1671342077748717,0.7118838330533157,0.24196039752218115,0.3313319574622371,0.04971712675617046,-0.04169775391642849
121,121,-0.02,0.15,-9,0.05,234,-78,0.09,-26,6,0.64,0.1,0.5271516710614051,0.43352566541737114,-0.6289892482738141,-0.3722084613191055,0.39290734480484635,0.0038674587349480927,-0.7364745938037488
122,122,-0.29,0.1,-6,0.11,2,-6,0.06,-3,-13,0.04,0.1,0.9957903065822106,-0.05880564371916242,0.03432461931028543,0.06136270930203539,0.3585806982440668,0.23274059687201087,0.4074430020132748
123,123,-0.25,0.15,-10,0.02,-19,57,0.15,12,-14,0.52,0.08,0.7784314577078029,-0.17851047194749378,-0.21581401011099258,0.5617853594530571,0.23013903838041488,0.08183000329862855,-0.10713764064052059
124,124,0.04,0.16,-1,0.02,98,17,0.32,21,-1,0.06,0.07,0.7741197559381924,0.08224804517523926,0.6170492990542645,0.11499576108572854,0.014835886889119632,0.016764551043572773,0.2909152423214306
125,125,-0.44,0.2,4,0.08,17,94,0.05,25,-19,0.56,-0.07,0.5398277943572177,-0.01659055052175537,-0.07514217148128217,0.8382507740156786,-0.0001932654890374197,-0.0344162551954561,0.4878536838259826
126,126,-0.13,0.31,6,0.09,153,7,0.12,17,11,0.44,-0.1,0.37568486877818685,0.1493499541855668,0.9138000966857059,0.039049377115138145,0.26463152347277985,-0.16446964796215902,0.3512026389815989
127,127,0.08,0.18,7,0.14,150,25,0.33,2,-7,0.27,-0.13,0.2481380124568282,0.16468112826517378,0.9453457194210281,0.132774709713949,0.13346523391872644,-0.04816204350046349,0.20862289509762227
