c_arm_lateral_m,c_arm_vertical_m,c_arm_wigwag_deg,c_arm_horizontal_m,c_arm_tilt_deg,c_arm_orbital_deg,table_vertical_m,table_trend_deg,table_tilt_deg,table_longitudinal_m,table_transverse_m,quat_w,quat_x,quat_y,quat_z,Tx_m,Ty_m,Tz_m
-0.23,0.4,-2,0.07,261,21,0.23,14,17,0.02,-0.01,0.551105260126539,-0.283611556266235,-0.784145277940393,0.0310428815815833,0.303364667404096,-0.139549514672354,0.628436359977282
-0.46,0.14,7,0.02,79,-2,0.3,-15,-12,0.4,0.03,0.675316368818876,-0.0375771543912213,0.730857779467959,0.0915568985074883,0.414611945884473,0.0715724480110793,0.494920903599412
-0.19,0.4,6,0.11,-78,63,0.22,17,-9,0,-0.09,0.561427961313366,-0.294078974734261,-0.676490964743885,0.375068227786161,0.234204577993821,-0.010560603288987,0.847656428960353
-0.49,0.28,7,0.02,-80,-66,0.17,13,-17,0.27,-0.08,0.611234620221794,0.517878568057276,-0.508527632920007,-0.315584654801275,0.172618403044149,-0.0660127666957514,0.844657582761761
-0.37,0,10,0.1,179,-18,0.33,18,4,0.51,0.03,0.177846132090779,-0.132527004336904,0.97363886450577,0.0532419754118035,-0.347063224196514,0.0479704392180798,0.461273646557924
0.33,0.37,0,0.12,98,-96,0.3,4,0,0.67,0.04,0.456345976204367,-0.543501718952025,0.489371145827231,-0.506823552264514,0.373947790962627,0.085,-0.616687409084633
0.5,0.32,5,0.03,225,77,0.07,22,-20,0.21,0.05,0.159221662783035,-0.445976968388034,-0.871842622379506,0.12507376851462,0.480679852569772,0.207266420118331,0.0181603443856828
-0.46,0.43,-6,0.11,47,-77,0.1,-12,17,0.14,-0.11,0.581257831108721,-0.28910087769052,0.40091003146771,-0.646398609962859,0.737386112308102,-0.338638153538783,0.332739017884559
0.41,0.06,3,0.02,120,-60,0.21,24,-19,0.19,0.08,0.635259934269597,-0.466294490811224,0.578377630876207,-0.2109350133404,0.116418148573226,0.0941464698781769,-0.0707107892290908
0.09,0.04,5,0.08,56,85,0.05,11,-9,0.25,0.07,0.61187717302161,0.26404198331285,0.278877825629977,0.69145883070158,0.203600454178962,0.117060591595531,0.215804050133377
0.17,0,0,0.01,-32,-16,0.34,-5,-3,0.15,-0.01,0.966119386213615,0.0385295984036919,-0.230243801116699,-0.110075399960261,-0.00694175276139023,-0.0702122264081167,0.0230238785687653
-0.43,0.4,5,0.14,72,-19,0.1,-6,0,0.18,-0.06,0.769679351899349,-0.0676883725230434,0.626136701875692,-0.104712988923101,0.707809989824783,-0.00124069512953717,0.663390367165827
-0.01,0.15,-3,0.03,94,-38,0.2,2,-16,0.49,-0.03,0.677950013381375,-0.34206821654352,0.632764816727859,-0.151597497664993,0.247756836000385,0.0207228813162433,-0.197711176235751
-0.03,0.21,-7,0.07,-8,-72,0.28,6,1,0.6,0.02,0.797010604680735,0.0209448940474979,-0.134476334334105,-0.588431408869249,0.212850945135238,-0.00216591974885398,-0.377102624193842
0.15,0.35,5,0.11,186,-15,0.12,7,-12,0.31,0.13,0.0098497248994161,-0.238015716683142,0.970254730747396,0.0430959278066287,0.468816461700122,0.280424185607955,0.105407733952408
0.11,0.24,-9,0.08,114,-100,0.35,-17,3,0.3,0.04,0.211368890286349,-0.7138684672725,0.562162724341171,-0.36012230563302,0.198248024611115,0.00989722777159607,-0.39674958839246
-0.36,0.38,7,0.03,8,-26,0.25,16,15,0.46,0.11,0.937092755237809,0.0661129600817379,-0.0635824383824832,-0.336813773648554,0.134805023152522,-0.0113099356878797,0.54864000859282
0.05,0.4,2,0.12,-88,47,0.07,-17,12,0.68,-0.09,0.780481064725024,-0.276661299790529,-0.510572828701368,0.231566878883385,0.717614770440246,-0.218792964880107,-0.557581618330508
0.21,0.29,7,0.08,116,28,0.04,2,-15,0,0.08,0.486617977184815,0.126003327459061,0.828165866377542,0.247926205789019,0.525980723329424,0.240714879375777,0.355354189109711
0.3,0.38,-9,0.04,218,-13,0.2,27,-20,0.09,-0.11,0.0913323840104088,0.241416256171243,-0.963436367940091,0.0718815123494237,0.47255945817817,0.040971614895121,0.00230348866867447
-0.48,0.39,8,0.11,142,38,0.04,-12,18,0.48,-0.09,0.210015714941943,0.482354351158177,0.84438182204026,0.101227555557606,0.831295634974137,-0.372269857490755,0.391929257637394
0.44,0.43,8,0.01,236,-31,0.33,-6,-9,0.4,0.01,0.492280714559179,0.320156815798503,-0.793428816743313,-0.160093797919138,0.430995387089647,0.0134127801042377,-0.334090240893097
-0.31,0.01,-2,0.14,146,-58,0.24,30,-5,0.59,0.03,0.466388247119144,-0.443555752422253,0.722651495989993,-0.252022048213418,-0.275427095150632,0.0788975474660814,0.0153109215001537
0.48,0.27,3,0.15,27,-87,0.16,-2,-13,0.7,0.08,0.776341849824654,-0.175309115467463,0.180463390395852,-0.577921284407906,0.390217207073751,0.267827619657148,-0.761797281369251
0.13,0.33,-3,0.15,54,20,0,26,-5,0.38,0.04,0.950613088797359,0.0116851710375384,0.242387432211021,0.193511097591628,0.476038442587748,0.163413415967271,0.0594542854251152
0.03,0.02,0,0.14,13,-71,0.02,-5,13,0.57,0.11,0.733995479497631,-0.0758409335895932,0.136820665999995,-0.660892498235999,0.344014478746633,0.0742009474647754,-0.287141816232594
-0.23,0.34,0,0.04,96,-79,0.16,7,14,0.41,-0.01,0.490969210290906,-0.37659827319497,0.591140877801497,-0.517373595929446,0.385243013270728,-0.167056148419644,0.23720698814307
0.06,0.35,-6,0.08,151,45,0.15,1,6,0.58,0.08,0.260590377810249,0.403844064988787,0.87608641628388,0.0384085585372823,0.503149115027948,0.0129309332012801,-0.444535633780801
-0.2,0.12,0,0.15,67,-99,0.07,8,-7,0.12,0.08,0.604599869461317,-0.393266941082536,0.296347896224282,-0.626081492541015,0.260106273715128,0.199778727605907,0.488180467686572
-0.02,0.02,5,0,173,14,0.22,-18,0,0.04,0.08,0.100230647711464,-0.130563414371386,-0.985885767173386,-0.0305984668238392,0.269907914559057,-0.0007079528623819,0.368885223634282
-0.03,0.43,1,0.01,251,-28,0.12,25,-6,0.14,0.08,0.382423522290732,0.275321038139827,-0.878353596950739,-0.0802840848490981,0.363978661571435,0.0631768371227173,0.527881547182587
-0.11,0.2,7,0.01,121,-92,0.3,-10,-8,0.38,-0.03,0.341267423424319,-0.673544111698033,0.610309346049135,-0.239577497756598,0.332274953638136,-0.0462524328153571,0.199648009061721
-0.12,0.08,3,0.08,20,-56,0,30,-17,0.23,-0.03,0.942425522465008,0.0708954560181445,-0.0559249365616461,-0.321994363915135,0.01680344387283,0.00867458222307773,0.486945552835537
-0.06,0.38,6,0.15,34,-96,0.02,-24,-10,0.12,0.03,0.64189058660689,-0.355278842360135,0.333004159623995,-0.592335756703765,0.834630615823072,0.261779278634719,0.0946046749878986
-0.32,0.09,-5,0.05,233,-30,0.16,-19,11,0.7,0.07,0.564646436188501,0.120821056658753,-0.79926723262719,-0.166579005927999,0.396603153819757,-0.0580064050362206,-0.307651227377928
0.14,0.44,-3,0.11,223,-40,0.07,17,10,0.56,0.09,0.213385744093764,0.239456616849622,-0.944234241139361,-0.0744899370684228,0.589679535647384,0.00169033416068076,-0.213889923185307
0.06,0.21,-8,0.1,72,32,0.01,25,16,0.65,-0.11,0.913194167286849,0.119564848272324,0.382188240658785,0.075583123731679,0.386368222940465,-0.23965495396813,-0.335872076979545
-0.16,0.28,4,0.11,108,-46,0.35,6,19,0.61,0.05,0.546166427081267,-0.162828158969778,0.759650263570731,-0.313242241137296,0.163386666482884,-0.00782243882674058,0.0441646270936008
0.03,0.11,-5,0.02,-90,-54,0.1,-24,-1,0.06,0.03,0.766163687805083,0.230174402254183,-0.493610598558246,-0.341118051452596,0.38128618642977,-0.0223924363841536,-0.0638410847638511
0.24,0.45,9,0.08,200,-93,0.04,-10,19,0.58,-0.1,0.0794855993582421,0.584977890881963,-0.764929318441307,-0.257616079589121,0.725692725147719,-0.399593985612788,-0.37141082426923
-0.33,0.13,-1,0.04,175,34,0.26,-14,-15,0.31,-0.01,0.0678228148137999,-0.163112013011099,-0.98344549026104,0.0403671238438252,0.335849680611321,0.0703080801586198,0.254499396529406
0.22,0,7,0.05,101,-27,0.3,12,13,0.65,0.08,0.686397452660179,-0.0518162376728165,0.698493581607854,-0.195653599373185,-0.0781165209243627,0.0374328295318993,-0.3162935268031
-0.37,0.23,-7,0.14,33,43,0.05,10,-1,0.45,0.04,0.915257282450872,0.0182858548408206,0.206134365357629,0.345656415898783,0.381039317231745,0.101180300424498,0.163925080889459
-0.2,0.05,4,0.03,9,-39,0.33,23,-13,0.17,0.13,0.968682062750801,0.0835437970248213,-0.094762436551243,-0.213765235486037,-0.241503136649359,0.0473227033586443,0.481341052916098
-0.33,0.32,6,0.1,16,-10,0.19,15,12,0.56,-0.12,0.982913259561367,0.0505769304399952,0.00783307995438883,-0.176811032303259,0.186427611472609,-0.164284335387041,0.396434925150437
0.03,0.11,-8,0.06,-33,84,0.2,-6,17,0.59,-0.07,0.796018354316141,-0.221518932414875,-0.0973893567968786,0.554796769417673,0.210799861572324,-0.196581926278029,-0.52139669295508
0.18,0.4,10,0.12,-29,35,0.23,-8,-1,0,0.04,0.940118372475591,0.0259625968500072,-0.197774602520765,0.276384869152426,0.543670421075061,0.07162697462146,0.365710934339041
0,0.04,6,0,220,7,0.26,-15,-16,0.59,0.04,0.462045548250479,0.0807913466542017,-0.882175853402644,0.0418620749728341,0.237880214352854,0.0503148309782935,-0.151355174675049
0.41,0.17,-4,0.01,205,53,0.03,-24,4,0.21,-0.06,0.362652881386112,-0.434199136671911,-0.799057067936959,0.203621706887323,0.34963971138196,-0.160287861017987,-0.589066429960584
0.41,0.17,-5,0.05,-56,-61,0.12,13,-7,0.15,-0.06,0.740860664100472,0.282783027673997,-0.491819544606086,-0.359545228297634,0.381030065780778,-0.0320671927736586,-0.237895233046208
0.33,0.12,4,0.14,78,-42,0.3,18,-7,0.25,0.12,0.833238884437513,-0.185970603318614,0.464387523409165,-0.235525209403456,0.0531196948105947,0.200263914139747,-0.053550682943781
0.03,0.23,4,0.11,190,-36,0.19,19,16,0.36,0.01,0.0852872354073149,-0.181612806802867,0.979656489031488,-0.00400491950729578,0.166625893417615,-0.034123193002357,0.192536769603804
0.28,0.21,3,0.01,207,-60,0.3,1,3,0.55,0.05,0.178465437934397,0.470335245277162,-0.852977916743134,-0.139152858617776,0.212533894141537,-0.0335406522893643,-0.3954182488341
-0.5,0.08,10,0.01,-20,-85,0.05,29,5,0.34,0.01,0.645826612457953,0.332104695820982,-0.260614678259819,-0.636155992764566,-0.285602119514006,-0.062038129200296,0.839806907961319
-0.37,0.14,2,0.15,-15,-24,0.06,6,-13,0.13,0.11,0.978447890378504,0.0743148840029095,-0.16727127973004,-0.095589449245012,0.273891679677985,0.272260929239772,0.694269523887871
0.07,0.1,-9,0.09,178,24,0.28,6,18,0.15,-0.13,0.0735498640873821,0.358949259515082,0.927454088062348,-0.0746643229577566,0.108051610109384,-0.202411071797156,-0.095134454046554
0.26,0.37,5,0,166,15,0.11,4,-16,0.62,0,0.138989121893013,-0.00480935854698271,0.986743883294147,0.083638524899483,0.546568767913641,0.101440172942714,-0.353189041946925
-0.47,0.38,-4,0.06,71,-75,0.27,28,-5,0.35,-0.11,0.746467721134645,-0.252801648409231,0.266016154289983,-0.5550789795357,0.00303166043036474,-0.119857792580258,0.516207173933154
0.2,0.44,9,0.04,83,-84,0.14,-20,12,0.48,0.1,0.445724578799743,-0.404466375095977,0.670512820533023,-0.433761580561674,0.688887781259957,-0.122848727315989,-0.358515296454303
-0.47,0.17,9,0.15,253,-88,0.19,-12,-6,0.48,-0.08,0.463951303880665,0.564706160729467,-0.472148665912416,-0.492881098175556,0.506935374696116,0.0387784648602399,0.492379247693929
0.34,0.35,-3,0.06,205,-5,0.33,-14,-8,0.43,-0.09,0.332896045936493,0.104180657933918,-0.936545133388414,0.0347825565302951,0.31036665295015,-0.0496330780516736,-0.605027584821327
0.29,0.03,2,0.13,36,-75,0.31,-14,5,0.02,-0.12,0.69630683470139,-0.22833344380059,0.355962258741143,-0.57992370251801,0.0705852618068716,-0.0807109303818641,0.0604791004367833
-0.4,0.31,0,0.15,-57,-46,0.03,-24,12,0.1,0.02,0.838602635709892,0.0830380504985015,-0.271605224906842,-0.464845031546142,0.850443939367945,-0.105347551197284,0.300188082391779
0.37,0.31,5,0.01,158,33,0.15,16,10,0.34,0.01,0.310044240381032,0.348327909768279,0.878053116478242,0.107531209078368,0.383442436068148,-0.147081322154906,-0.0775418459087508
0.1,0.16,-2,0.14,69,9,0.14,-14,12,0.57,0.1,0.748374091677762,0.10551326982081,0.654246276171156,-0.0276582521750704,0.378863027373024,0.0636452971379349,-0.488472742524435
-0.47,0.04,-1,0.05,235,94,0.08,28,16,0.52,0.12,0.177301108690515,-0.799805114510403,-0.552970590919656,0.151985595495371,-0.173330996604851,0.114774252916524,0.347984065625283
-0.02,0.24,0,0.1,2,97,0.29,25,20,0.17,0.08,0.766897066937454,-0.169989108368415,-0.104169459583369,0.610017471429262,0.0483496398270515,0.0526095911507393,0.312791844782045
0.02,0.33,-2,0.1,192,71,0.15,10,-15,0.26,-0.02,0.00107810815958759,-0.472268850801359,-0.881115282901098,0.0244300733457244,0.400648121747716,0.139021104781703,0.111688499081973
-0.07,0.4,2,0.05,-59,39,0.15,-23,4,0.12,-0.08,0.910343598235368,-0.100982864767026,-0.292298420766655,0.275024775961453,0.708524598124231,-0.162545118781583,0.0545487282711602
-0.14,0,2,0.15,201,23,0.09,-22,-2,0.01,-0.08,0.361536435778327,-0.16967905914283,-0.914670551302016,0.0622752364425336,0.417658310217839,0.0121169942559608,0.374196283866832
-0.45,0.11,-4,0.08,237,58,0.36,-24,-15,0.48,0.05,0.501841088319932,-0.287742240989572,-0.703431324870295,0.412970090945322,0.331533530159643,0.166820870241844,0.0807491547305073
0.21,0.12,10,0.01,247,-3,0.14,8,18,0.38,-0.07,0.469734709039075,-0.0605687724874207,-0.866551385740783,-0.157383044811286,0.180272284599916,-0.253531881601726,0.0720853931987973
-0.12,0.37,-10,0.1,32,31,0.33,-6,13,0.66,0.06,0.933391005559846,0.0427576248461599,0.332525183255712,0.12798444732955,0.360884469831172,-0.0456929459572443,-0.516201486527842
0.36,0.01,4,0.14,191,-56,0.25,12,8,0.1,-0.09,0.0255186584135188,-0.412829695899394,0.910124177894892,0.0243807519887288,0.041367796108933,-0.048263374160631,0.036371580451057
0.44,0.43,-9,0.15,167,7,0.16,24,-16,0.46,-0.1,0.325546378016293,-0.0666784623326493,0.943075946412179,-0.0134646841849145,0.598630653910265,0.15721868369794,-0.505762392691978
0.48,0.14,-1,0.08,233,80,0.09,13,20,0.05,-0.05,0.292527510167423,-0.722873949434231,-0.600358909094273,0.177341730271641,0.345547324898358,-0.207101160855705,-0.101340181962348
-0.08,0.19,5,0,250,-77,0.08,-8,-5,0.15,-0.01,0.486669542532471,0.526323394912637,-0.571222476299407,-0.399801604435556,0.504688306520027,-0.0381128723435805,0.332419984072411
0.34,0.2,-9,0.07,178,-7,0.2,16,-3,0.18,-0.05,0.153139454955046,-0.0762919735559112,0.981730122954723,-0.0832694889519602,0.345939232140286,-0.0509920086386897,-0.29540088325214
0.45,0.2,-4,0.03,182,99,0.04,8,8,0.29,-0.08,0.0614577702548198,0.804075453395812,0.591200664787161,0.0129376070756052,0.473778058945655,-0.209845118597214,-0.415873476951171
0.26,0,-6,0.15,189,-16,0.32,-26,13,0.46,0,0.303688572127804,0.0326642811338982,-0.951881049476393,-0.0250751579197974,-0.0202136896520916,0.0492760548152357,-0.578639011477851
-0.17,0.38,3,0.13,128,-66,0.31,15,3,0.24,0.11,0.46877044558078,-0.428472753404631,0.715100809273732,-0.292055134376895,0.196396904292621,0.14730505151293,0.467211685033088
0.08,0.16,2,0.11,-74,-19,0.08,10,-3,0.45,0.12,0.734513384241001,0.142185246628279,-0.653912688323813,-0.112568379490915,0.314879175224704,0.175808813901253,-0.0444393471438538
-0.08,0.27,-3,0.14,147,-83,0.25,3,16,0.11,0.04,0.181394854722638,-0.530393042171877,0.789061354493624,-0.25131913246011,0.310242901022586,-0.0123539341010927,0.256133297987185
-0.28,0.23,-9,0.12,47,-96,0.24,18,-12,0.26,0.09,0.689048113747652,-0.240832015399248,0.0931819445977353,-0.677148257400493,0.137961491938857,0.166195134401735,0.219304840724237
-0.5,0.38,-3,0.08,-53,-77,0.06,18,10,0.44,-0.09,0.595754593713675,0.299583314936535,-0.49785335189701,-0.5544982790646,0.335490512581361,-0.163910333022999,0.512889636049554
0.05,0.08,-6,0.06,-38,90,0.05,-2,12,0.03,0,0.7268320022338,-0.270771985691256,-0.155984365935621,0.611609883730865,0.331608703487571,-0.115813133369924,0.0914659426383143
0.48,0.05,6,0.07,194,11,0.3,14,-4,0.1,-0.07,0.00662829686125516,-0.0483272766066791,-0.997539837978086,-0.0503469131442421,0.0355194647816957,-0.074157391481648,-0.0296812265491343
-0.31,0.46,6,0.14,-65,-4,0.3,12,-20,0.03,-0.05,0.777179765235283,0.175064433387474,-0.598338695690335,0.0856438083643093,0.23255449131389,0.130650820738344,0.900675055795106
0.03,0.04,-3,0.06,127,68,0,-23,19,0.19,-0.07,0.243988776748019,0.652981383956532,0.711511358504935,0.0885233062288021,0.392611161715233,-0.257745050333856,-0.150395994744229
0.18,0.45,8,0.01,-68,-70,0.06,-18,-13,0.34,-0.08,0.771838354517217,0.317562396805853,-0.281946673683676,-0.473207937200749,0.78878957401201,0.0434017134856358,-0.228115320227803
0.12,0.03,2,0,84,-79,0.27,-25,-12,0.45,-0.09,0.488909542774349,-0.569933148053165,0.58136833330329,-0.31329622845885,0.203876372794696,-0.103018801042389,-0.270634395687952
0,0.18,1,0.05,-20,-92,0,17,-16,0.02,-0.03,0.747120145662032,0.261822656068219,-0.17944239964019,-0.584004118073407,0.329297971196136,0.0668461403630976,0.510890428054039
0.18,0.44,-10,0.03,186,-62,0.01,-6,-7,0.17,-0.06,0.132609103120075,0.561159864775606,-0.816492669777116,0.0292258812519075,0.732748880732115,-0.0265079337923969,-0.353235371778069
-0.15,0.39,-8,0.11,151,88,0.29,-22,14,0.25,-0.08,0.0865277414737237,0.754907789671627,0.649954868808447,-0.013632591857375,0.481963669425716,-0.205176438599639,-0.18885111667265
-0.27,0.17,-3,0.05,169,11,0.04,-24,-7,0.65,-0.07,0.107865731148096,-0.026796510362642,-0.992901047182274,0.04236084962104,0.63067650625095,-0.00761212531471556,-0.38166980704093
-0.41,0.25,-5,0.1,95,39,0.21,1,-8,0.67,-0.03,0.637763851954384,0.167134207774872,0.711883833053316,0.241960397522181,0.331331951113066,0.0497171236942658,-0.041697733635969
-0.02,0.15,-9,0.05,234,-78,0.09,-26,6,0.64,0.1,0.527151671061405,0.433525665417371,-0.628989248273814,-0.372208461319105,0.39290734284248,0.00386745671114681,-0.736474606557156
-0.29,0.1,-6,0.11,2,-6,0.06,-3,-13,0.04,0.1,0.99579030658221,-0.0588056437191624,0.0343246193102852,0.0613627093020353,0.358580695778199,0.232740595420978,0.407443009538376
-0.25,0.15,-10,0.02,-19,57,0.15,12,-14,0.52,0.08,0.778431457707803,-0.178510471947494,-0.215814010110993,0.561785359453057,0.23013903828957,0.0818300055178386,-0.107137659789938
0.04,0.16,-1,0.02,98,17,0.32,21,-1,0.06,0.07,0.774119755938192,0.0822480451752393,0.617049299054265,0.114995761085729,0.014835883866236,0.0167645511398204,0.290915238856733
-0.44,0.2,4,0.08,17,94,0.05,25,-19,0.56,-0.07,0.539827794357218,-0.0165905505217554,-0.0751421714812822,0.838250774015678,-0.000193268987717821,-0.0344162542155588,0.487853687539397
-0.13,0.31,6,0.09,153,7,0.12,17,11,0.44,-0.1,0.375684868778187,0.149349954185567,0.913800096685706,0.0390493771151382,0.264631516776896,-0.164469648793752,0.35120263931867
0.08,0.18,7,0.14,150,25,0.33,2,-7,0.27,-0.13,0.248138012456828,0.164681128265174,0.945345719421028,0.132774709713949,0.133465239967714,-0.048162048122159,0.20862290417483
-0.11,0.05,-4,0.13,93,-8,0.11,-2,18,0.5,-0.1,0.652274371072422,0.0398505120713088,0.736156303384701,-0.176136249865563,0.261589605871869,-0.163832096452818,-0.166159289441813
0.44,0.28,2,0.02,259,14,0.31,-17,-5,0.53,0.1,0.735310460392338,-0.0435304415944208,-0.667671543988374,0.107881123651838,0.270687370071669,0.0762913716460809,-0.678624114923639
0.01,0.35,-8,0.1,1,-5,0.07,30,12,0.24,0.08,0.952425515036402,-0.0823421838328233,-0.245200569372468,-0.161189589765291,0.404626529218919,-0.01762212253371,0.199906001948134
-0.2,0.28,7,0,-2,-84,0.2,-14,-11,0.34,-0.01,0.79290830566344,-0.0360803088065718,0.115058361930894,-0.597290719395618,0.569051744882575,0.0322566932307892,0.251009661526876
0.16,0.38,-6,0.07,-32,-44,0.02,8,18,0.37,-0.1,0.809974175153925,0.0269521163240103,-0.344313235542665,-0.473987146280906,0.610938914252005,-0.345298598706781,-0.237684958897049
-0.26,0.14,0,0.1,250,-69,0.15,-14,19,0.56,0.02,0.481332276778662,0.314066574364852,-0.673517942226154,-0.464817176637485,0.426081743517094,-0.13470395411084,-0.0663735788977095
0.05,0.36,0,0.06,233,-27,0.16,11,-14,0.04,-0.1,0.356064308644738,0.326946756358682,-0.874458821926587,-0.0405684035999433,0.419835308118211,0.014150294740235,0.369963001386375
-0.33,0.15,-2,0.06,196,-68,0.13,-16,16,0.03,0.05,0.216485216093623,0.421325212367445,-0.863844701471186,-0.171439634788988,0.471929116707713,-0.130591133536039,0.450862797988945
-0.05,0.14,-9,0,-38,-37,0.12,16,9,0.35,-0.05,0.82349702059665,0.0347618424552878,-0.457779350862413,-0.333290169824349,0.235004819424816,-0.197692123946726,-0.0744698625781109
0.39,0.36,2,0.06,112,-25,0.03,-14,6,0.55,-0.11,0.440932370660808,-0.13574331432236,0.880542825713921,-0.10861274880954,0.627923013562239,-0.202545960288736,-0.716493226781587
-0.05,0,-7,0.03,188,61,0.08,-21,-15,0.13,-0.08,0.159590496819687,-0.371218332918064,-0.892222663089805,0.201659470641266,0.303408591919054,-0.0303011129309029,-0.0522257268236689
-0.15,0.25,-1,0.09,192,16,0.06,21,15,0.3,0.06,0.0785261373225767,0.268792754258101,0.959960980836684,-0.00768220584283232,0.26410062355883,-0.0222820326871362,0.352583776478898
-0.34,0.32,-3,0,234,67,0.29,8,-15,0.58,-0.13,0.280066806711534,-0.415502144796931,-0.821150597025284,0.273189034283175,0.251889196746113,-0.115485502474403,0.0862945958195259
